Model,Rated Power (W),Max Power(W),Top Speed(kmph),Battery Capacity(kwh),Charging Time(Hrs),Range(km)
Revolt RV 400,3000,,65,3.24,4.5,150
Revolt RV 300,1500,,45,2.7,4.2,180
Ultraviolette F77,12500,25000,147,4.2,5,150
Ather 450,3300,5400,80,2.7,5,75
Ather 450X,3300,6000,80,2.9,5,85
Bajaj Chetak,3800,4080,78,3,5,95
TVS iQube Electric,,4400,78,4.5,5,75
Okiva iPraise,1000,2500,58,3.3,4,160
Hero Photon,1000,1500,45,2.7,5,110
Ampere Magnus Pro,1200,,55,1.8,5,80
Okiwa Ridge Plus,800,1700,45,1.74,3,84
Ampere Zeal,1200,,55,1.8,6,85
Hero Optima ER,600,1200,40,2.7,4,110
Okiwa Lite,250,250,25,1.25,5,60
Tronx One,250,250,25,0.48,3,50
Lightspeed Dryft,250,250,25,0.25,4,50
Lectro Zephyr SS,250,250,25,0.208,4,30
Ather 450,3300,5400,80,2.7,5,75
Ather 450X,3300,6000,80,2.9,5,85
Revolt RV 400,3000,,85,3.24,4.5,150
Revolt RV 300,1500,,65,2.7,4.2,180
Bajaj Chetak,3800,4080,78,3,5,95
TVS iQube Electric,,4400,78,4.5,5,75
Ultraviolette F77,12500,25000,147,4.2,5,130
Okiva iPraise,1000,2500,58,3.3,4,160
Hero Photon,1000,1500,45,2.7,5,110
Hero Optima ER,600,1200,40,2.7,4,110
Ampere Magnus Pro,1200,,55,1.8,6,75
Ampere Zeal,1200,1800,55,1.8,5,85
Hero Electric Dash,250,375,25,1.34,5,60
Techo Electra Emerge,250,375,25,1.8,3,100
Ampere Zeal,1200,1800,55,1.8,6,75
Joy E-Bike Glob,250,375,25,1.38,3.5,60
Pure EV EPluto,250,375,25,1.8,5,80
Okiwa Ridge Plus,1700,2550,55,1.75,3,100
Ampere Magnus Pro,1200,1800,55,1.8,6,80
Okiwa Praise,2500,3750,58,2,4,110
Gemopai Astrid Lite,2400,3600,60,1.73,4,90
Pure EV EPluto 7G,2200,3300,60,2.5,4,120
Benling Aura,2500,3750,60,2.88,6,120
TVS iQube,4400,6600,78,2.25,5,75
Okiwa iPraise,2500,3750,70,3.3,4,139
Revolt RV300,1500,2250,65,2.7,4.2,180
Bajaj Chetak Electric,4080,6120,70,3,5,95
Kabira 3000,6000,9000,100,4,6.5,120
Ather 450X,6000,9000,80,2.9,5.45,85
Revolt RV400,3000,4500,85,3.24,4.5,150
Kabira 4000,8000,12000,120,4.4,6.5,150
SVM Pra,4000,6000,123,4.32,4.25,126
Hero electric flash,250,375,25,1.344,5,85
Joy E-Bike monster,500,750,,1.85,5,75
Hero Optima ER,250,375,25,1.344,7,50
Hero electric photon,1200,1800,45,1.344,4,100
Hero electric NYX,600,900,40,1.344,5,50
SVM Pra,7000,10500,123,7.2,6.5,225
Skoda Enyaq iV 80,150000,150000,160,82,8.25,478
Tesla Model 3 Long Range Dual Motor,216000,324000,233,77,7.5,520
Volkswagen ID.4 1st,150000,150000,160,82,8.25,455.5
Mercedes EQA 250,140000,140000,160,79.8,7.25,420.5
Volkswagen ID.3 Pure Performance,110000,110000,160,48,7.5,313.5
Tesla Model 3 Standard Range Plus LFP,159000,239000,225,55,5.5,387.5
Nissan Leaf,110000,110000,144,40,11.75,285
Hyundai Kona Electric 64 kWh,150000,150000,167,67.5,7,439.5
Hyundai IONIQ Electric,100000,100000,165,40.4,6.25,280.5
Tesla Model 3 Standard Range Plus,159000,239000,225,55,5.5,394
Peugeot e-208,100000,100000,150,50,7.25,362.5
Skoda Enyaq iV 60,132000,132000,160,62,6.25,355
Volkswagen ID.3 Pro S,150000,150000,160,82,8.25,499.5
BMW iX3,140000,210000,180,80,8,440
Honda e,100000,100000,145,35.5,5.25,196
Audi e-tron GT RS,317000,475000,250,93.4,9.25,438.5
Citroen e-C4,100000,100000,150,50,7.25,300
Volkswagen ID.3 Pro,107000,107000,160,62,6.25,388
Peugeot e-2008 SUV,100000,100000,150,50,7.25,340
200 km/h,105000,105000,140,44.5,7.75,277.5
Volvo XC40 P8 AWD Recharge,200000,300000,180,78,8.25,376.5
Opel Corsa-e,100000,100000,150,50,7.25,302.5
Skoda Enyaq iV 50,109000,109000,160,55,8.5,315
Opel Mokka-e,100000,100000,150,50,7.25,288.5
Renault Zoe ZE50 R110,80000,80000,135,54.7,3,355
BMW i3 120 Ah,125000,125000,150,42.2,4.25,297
Mazda MX-30,105000,105000,140,35.5,5.5,203.5
Aiways U5,150000,150000,150,63,11.25,419
Volkswagen ID.4 Pro Performance,150000,150000,160,82,8.25,466
